original_firstorder_10Percentile_P,original_firstorder_10Percentile_A,original_firstorder_10Percentile_V,original_firstorder_90Percentile_P,original_firstorder_90Percentile_A,original_firstorder_90Percentile_V,original_firstorder_Energy_P,original_firstorder_Energy_A,original_firstorder_Energy_V,original_firstorder_Entropy_P,original_firstorder_Entropy_A,original_firstorder_Entropy_V,original_firstorder_InterquartileRange_P,original_firstorder_InterquartileRange_A,original_firstorder_InterquartileRange_V,original_firstorder_Kurtosis_P,original_firstorder_Kurtosis_A,original_firstorder_Kurtosis_V,original_firstorder_Maximum_P,original_firstorder_Maximum_A,original_firstorder_Maximum_V,original_firstorder_MeanAbsoluteDeviation_P,original_firstorder_MeanAbsoluteDeviation_A,original_firstorder_MeanAbsoluteDeviation_V,original_firstorder_Mean_P,original_firstorder_Mean_A,original_firstorder_Mean_V,original_firstorder_Median_P,original_firstorder_Median_A,original_firstorder_Median_V,original_firstorder_Minimum_P,original_firstorder_Minimum_A,original_firstorder_Minimum_V,original_firstorder_Range_P,original_firstorder_Range_A,original_firstorder_Range_V,original_firstorder_RobustMeanAbsoluteDeviation_P,original_firstorder_RobustMeanAbsoluteDeviation_A,original_firstorder_RobustMeanAbsoluteDeviation_V,original_firstorder_RootMeanSquared_P,original_firstorder_RootMeanSquared_A,original_firstorder_RootMeanSquared_V,original_firstorder_Skewness_P,original_firstorder_Skewness_A,original_firstorder_Skewness_V,original_firstorder_TotalEnergy_P,original_firstorder_TotalEnergy_A,original_firstorder_TotalEnergy_V,original_firstorder_Uniformity_P,original_firstorder_Uniformity_A,original_firstorder_Uniformity_V,original_firstorder_Variance_P,original_firstorder_Variance_A,original_firstorder_Variance_V
76.06299517,75.88458391,63.27209117,142.2713826,142.6947807,150.4307651,30607215390,30547888082,29648017760,3.556265553,3.535944575,3.843206915,31.96266979,34.55699836,39.61757905,12.94039633,13.73167396,5.746018366,427.6523628,423.7583674,348.5186603,22.15792689,21.92769135,27.4913942,110.0565033,109.6920581,103.0970134,110.3087128,110.4415823,96.94703337,-56.35377966,-48.52061017,-45.67625122,484.0061425,472.2789775,394.1949116,13.85045048,14.07259765,17.68458138,411.3127964,410.9139702,404.8164409,1.287710085,1.340803696,0.97840095,30607215390,30547888082,29648017760,0.110893472,0.112029208,0.089361187,1031.880611,1002.708438,1389.148606
44.11637322,38.94152533,29.72641513,173.3205686,166.7941019,155.6605805,28327197628,27516186083,26338597433,4.201556645,4.203974962,4.340342148,63.38319018,63.92628829,61.99835832,2.40520345,2.825011372,4.997277887,270.8331689,422.4992551,452.0902312,37.96767391,37.9071986,39.28605436,114.2090269,108.1358307,98.57719944,119.6886384,112.3383748,99.47456824,-11.95337195,-15.51420173,-47.77153277,282.7865408,438.0134568,499.8617639,27.8935917,27.82365126,26.5335723,416.8156993,410.8056243,401.9190436,-0.221606222,-0.056736077,0.616263377,28327197628,27516186083,26338597433,0.061008198,0.060729895,0.059940519,2166.209203,2186.404671,2675.133666
40.69657021,33.32861041,21.13947164,148.6897728,144.3544511,172.6826751,16888598319,16516836576,17340227381,3.932479124,3.95143199,4.493442662,64.336376,64.05336963,71.88587858,3.283670686,3.027860412,4.127281635,217.6216042,229.7589439,361.1402487,33.82510147,34.48847437,46.67827667,94.9091098,90.415337,97.62453662,95.84203536,93.1117554,91.08248864,-87.97618178,-86.23767957,-87.66077702,305.597786,315.9966235,448.8010257,25.57458414,25.77753406,31.18373309,397.1149718,392.7198865,402.3896965,-0.075513531,-0.135161872,0.7932753,16888598319,16516836576,17340227381,0.074611851,0.073179584,0.053450216,1747.09585,1804.77387,3812.195696
116.3362286,115.6901686,107.2689267,197.4621977,192.4479266,211.1171959,19895823719,19631736129,19521295443,3.821627472,3.737050064,4.008291398,44.48843467,40.77755894,43.847047,5.068673505,5.044315055,6.820880431,396.3516704,398.7344012,430.3524309,27.21294731,25.32588872,32.95071918,157.140258,154.2508122,151.7661342,155.5907298,154.0690476,144.1927558,-22.36300889,-28.23062768,-15.04125705,418.7146793,426.9650289,445.393688,18.89307823,17.1602132,19.47639257,458.5214511,455.4681888,454.1852364,0.35896745,0.369490358,1.561054772,19895823719,19631736129,19521295443,0.086919606,0.092663605,0.082821204,1264.70565,1107.470617,2191.588991
35.27146603,34.01500971,33.17883807,109.1361058,117.0459602,107.2176354,26824484644,27414043308,26612040117,3.539835077,3.746319641,3.606795171,36.93231988,42.7016317,37.01939868,8.00762943,9.480203637,6.062914481,382.4352729,413.5850692,331.5116392,24.27590118,27.23353986,24.03878868,68.58346117,72.29681915,67.22480169,62.35516728,67.22738991,63.66540168,-63.21472033,-60.87750517,-60.45846447,445.6499933,474.4625744,391.9701036,15.63511936,18.4845899,16.26227046,370.0502218,374.0946718,368.5819473,1.518434302,1.616072908,1.054597179,26824484644,27414043308,26612040117,0.11357688,0.092273978,0.100269047,1083.398831,1341.901945,998.5968629
79.30882336,76.58251002,59.57499879,134.6163469,133.7094451,169.7479019,40886063708,40722958678,40417963144,3.172976863,3.266862956,3.901456669,26.54761131,28.56346755,37.99065626,3.80647045,3.789093252,10.67858352,227.5329865,305.0902504,549.6544646,16.82218883,17.99848521,34.16757671,106.7247174,105.833238,101.8371027,105.8564347,105.1459776,88.06799098,-31.30622375,-28.88260093,-25.90397781,258.8392102,333.9728513,575.5584424,11.68100487,12.40487273,18.73041861,407.3115859,406.4983387,404.9732384,0.014071298,0.027370947,2.254023353,40886063708,40722958678,40417963144,0.135765604,0.126180129,0.094715527,477.7322604,540.2823071,2530.266699
112.6955798,108.7847314,98.09327832,178.7666772,177.4706029,168.8714957,24080038732,23888422078,22855061215,3.42905993,3.419082597,3.539395093,37.34453331,38.46408806,35.3891087,3.644144699,3.517798355,4.568972828,282.1823079,273.630823,343.2892457,21.14777094,21.6424576,22.70623184,146.6277979,144.8220275,134.8710954,147.1674567,144.5013846,133.482387,-10.8286458,-14.8498374,-5.546254296,293.0109537,288.4806605,348.8355,15.75014529,16.5551047,15.84553912,447.396072,445.6124419,435.8677842,-0.068316099,-0.148748052,0.6234161,24080038732,23888422078,22855061215,0.106393247,0.106068105,0.102898786,686.8554444,703.8122177,867.8556678
32.95097024,18.00205636,16.6643364,115.353985,167.3422221,167.4963704,25155025472,27099466224,26934576923,3.594606493,4.370914119,4.375798222,39.95297686,71.11436466,74.56864601,3.009043952,6.2733246,5.765088758,205.248183,455.355399,443.739309,24.63942509,49.41235979,50.02719847,70.23468203,79.75914712,78.56079303,65.41276394,60.67067515,59.03288527,-29.47555611,-30.00013979,-29.09369638,234.7237391,485.3555388,472.8330054,17.92194467,31.22523235,31.98105424,371.5087787,385.6000382,384.425138,0.609693672,1.703131763,1.615829155,25155025472,27099466224,26934576923,0.095225414,0.06369181,0.063184875,945.0529042,4470.379619,4474.412739
59.09885214,50.25083077,50.20965404,134.2881857,127.6144944,153.5505762,13727024377,13308337791,14534369873,3.511403508,3.549379081,3.962014061,42.01756873,39.67367364,60.44469031,2.623503324,2.824722903,2.252222018,211.6889701,250.6028827,270.5402994,23.54665662,23.38217647,32.58622436,93.37065352,87.25900112,103.9816134,90.05916594,85.95713705,104.8048582,-22.72483433,-27.11283283,-12.18486499,234.4138045,277.7157155,282.7251644,17.70781013,16.97848018,25.06035897,394.4123734,388.3508288,405.8452175,0.310728786,0.112707004,-0.040876366,13727024377,13308337791,14534369873,0.101023382,0.10002488,0.070153014,820.6492397,846.8323054,1509.196626
10.86162978,-5.775647735,-8.241833331,82.29435683,43.52300424,38.44082215,25510656235,21567375689,21030474084,3.620597129,3.052753921,2.987155895,35.71636352,23.27991899,23.34132774,6.5658898,6.649598306,6.789279812,235.081023,146.2285292,139.5865757,23.52384395,15.71285938,15.03007561,44.30694642,17.21502482,13.28363845,40.62526605,14.76545725,11.20927312,-106.2086729,-94.78710269,-92.52996128,341.2896959,241.0156319,232.116537,15.30297948,10.42827806,9.888409105,345.7794867,317.9340642,313.951774,0.821336567,0.549762295,0.644589983,25510656235,21567375689,21030474084,0.102191205,0.15143283,0.159442183,1016.18005,456.6972007,419.0782964
